year,dept_code,macrosector,value
2005,85,SERVICIOS,862.75
2005,19,SERVICIOS,693.11
2005,20,SERVICIOS,791.68
2005,27,SERVICIOS,149.98
2005,23,SERVICIOS,877.63
2005,25,SERVICIOS,2928.4
2005,94,SERVICIOS,15.97
2005,95,SERVICIOS,50.9
2005,41,SERVICIOS,687.13
2005,44,SERVICIOS,292.47
2005,47,SERVICIOS,1004.6
2005,50,SERVICIOS,1288.48
2005,52,SERVICIOS,1241.04
2005,54,SERVICIOS,1040.71
2005,86,SERVICIOS,161.46
2005,63,SERVICIOS,544.87
2005,66,SERVICIOS,874.58
2005,88,SERVICIOS,254.42
2005,68,SERVICIOS,2597.39
2005,70,SERVICIOS,532.02
2005,73,SERVICIOS,1146.13
2005,76,SERVICIOS,5692.46
2005,97,SERVICIOS,13.95
2005,99,SERVICIOS,25.74
2005,91,SERVICIOS,2.18
2005,05,SERVICIOS,1528.85
2005,81,SERVICIOS,16.49
2005,08,SERVICIOS,408.51
2005,11,SERVICIOS,5082.65
2005,13,SERVICIOS,303.48
2005,15,SERVICIOS,279.67
2005,17,SERVICIOS,250.13
2005,18,SERVICIOS,33.79
2005,85,SERVICIOS,42.63
2005,19,SERVICIOS,82.15
2005,20,SERVICIOS,112.61
2005,27,SERVICIOS,16.0
2005,23,SERVICIOS,203.33
2005,25,SERVICIOS,567.67
2005,94,SERVICIOS,0.25
2005,95,SERVICIOS,3.57
2005,41,SERVICIOS,150.12
2005,44,SERVICIOS,26.64
2005,47,SERVICIOS,133.03
2005,50,SERVICIOS,184.34
2005,52,SERVICIOS,193.6
2005,54,SERVICIOS,131.29
2005,86,SERVICIOS,6.53
2005,63,SERVICIOS,104.39
2005,66,SERVICIOS,229.56
2005,88,SERVICIOS,9.85
2005,68,SERVICIOS,596.59
2005,70,SERVICIOS,78.88
2005,73,SERVICIOS,289.46
2005,76,SERVICIOS,1202.46
2005,97,SERVICIOS,0.09
2005,99,SERVICIOS,2.23
2005,91,SERVICIOS,3.97
2005,05,SERVICIOS,1839.89
2005,81,SERVICIOS,25.52
2005,08,SERVICIOS,462.93
2005,11,SERVICIOS,6071.91
2005,13,SERVICIOS,198.66
2005,15,SERVICIOS,140.34
2005,17,SERVICIOS,154.92
2005,18,SERVICIOS,27.34
2005,85,SERVICIOS,51.03
2005,19,SERVICIOS,82.02
2005,20,SERVICIOS,73.81
2005,27,SERVICIOS,19.14
2005,23,SERVICIOS,99.33
2005,25,SERVICIOS,162.21
2005,94,SERVICIOS,1.27
2005,95,SERVICIOS,4.47
2005,41,SERVICIOS,108.44
2005,44,SERVICIOS,33.72
2005,47,SERVICIOS,95.69
2005,50,SERVICIOS,103.89
2005,52,SERVICIOS,122.11
2005,54,SERVICIOS,117.23
2005,86,SERVICIOS,21.87
2005,63,SERVICIOS,71.08
2005,66,SERVICIOS,152.19
2005,88,SERVICIOS,10.94
2005,68,SERVICIOS,379.1
2005,70,SERVICIOS,50.12
2005,73,SERVICIOS,172.23
2005,76,SERVICIOS,984.48
2005,97,SERVICIOS,0.67
2005,99,SERVICIOS,3.49
2005,91,SERVICIOS,10.18
2005,05,SERVICIOS,4241.14
2005,81,SERVICIOS,65.53
2005,08,SERVICIOS,1247.63
2005,11,SERVICIOS,14239.5
2005,13,SERVICIOS,529.76
2005,15,SERVICIOS,555.35
2005,17,SERVICIOS,278.61
2005,18,SERVICIOS,48.81
2005,85,SERVICIOS,162.94
2005,19,SERVICIOS,327.7
2005,20,SERVICIOS,356.04
2005,27,SERVICIOS,29.49
2005,23,SERVICIOS,193.2
2005,25,SERVICIOS,934.24
2005,94,SERVICIOS,2.78
2005,95,SERVICIOS,13.2
2005,41,SERVICIOS,347.36
2005,44,SERVICIOS,64.06
2005,47,SERVICIOS,206.41
2005,50,SERVICIOS,251.15
