nit,razon_social,macrosector_calc,region_calc,ingresos,ganancias,Prediccion_Margen,Ganancia_Proyectada_Mils
900230084,MACMODA SAS,MANUFACTURA,Andina,2,0.0,0.0005989958249663349,0.0011979916499326698
900044642,DECOTRIPLEX SAS,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
890308786,IMEVALLE SAS,MANUFACTURA,Pacifico,2,0.0,0.014500721810708259,0.029001443621416517
900037539,MOLDPET SAS,MANUFACTURA,Andina,2,0.0,0.014500721810708259,0.029001443621416517
900088496,GSD SAS,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
900397110,CONSUSALUD DEL CARIBE IPS LTDA,SALUD,Caribe,2,0.0,0.0012895845680581434,0.0025791691361162867
900390425,REFORESTADORA DEL SINU SUCURSAL COLOMBIA,AGROPECUARIO,Caribe,2,0.0,0.0005989958249663349,0.0011979916499326698
900383866,GAICA SAS,COMERCIO,Andina,2,0.0,0.01391988115344079,0.02783976230688158
900101343,ACEROS LUISESCO S.A.,COMERCIO,Andina,2,0.0,0.0002806900773449824,0.0005613801546899648
900100822,ZAFFIRO S.A.S,INMOBILIARIO,Andina,2,0.39634146341463417,0.17409018223207454,0.3481803644641491
890504525,HULLAS DEL ZULIA LTDA,MINERO,Andina,3,0.39634146341463417,0.026626007069356923,0.07987802120807078
890505513,OFICINA DE DISENO CALCULO Y CONSTRUCCIONES S.A.S.,CONSTRUCCION,Andina,2,0.39634146341463417,0.014500721810708259,0.029001443621416517
